
,,,,,,,Points,Points,Points,,,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
1942,NFL,New York Giants,5,5,1,,155,139,16,Owen,,Leemans,Hapes,Cuff,5,9,4,5,2,5,8,10,1.5,,,,
1941,NFL,New York Giants*,8,3,0,Lost Champ,238,114,124,Owen,,Leemans,Leemans,Cuff,3,6,1,1,3,3,6,10,11.3,,,,
1940,NFL,New York Giants,6,4,1,,131,133,-2,Owen,,Miller,Leemans,Howell,8,7,2,1,4,5,4,10,-0.2,,,,
1939,NFL,New York Giants*,9,1,1,Lost Champ,168,85,83,Owen,,Danowski,Leemans,Leemans,5,7,1,2,1,3,6,10,7.5,,,,
1938,NFL,New York Giants*,8,2,1,Won Champ,194,79,115,Owen,,Danowski,Leemans,Soar,2,4,1,1,1,1,3,10,10.5,,,,
1937,NFL,New York Giants,6,3,2,,128,109,19,Owen,,Danowski,Soar,Leemans,6,5,3,3,1,5,5,10,1.7,,,,
1936,NFL,New York Giants,5,6,1,,115,163,-48,Owen,,Danowski,Leemans,Burnett,5,4,7,6,6,5,6,9,-4.0,,,,
1935,NFL,New York Giants*,9,3,0,Lost Champ,180,96,84,Owen,,Danowski,Richards,Goodwin,4,4,1,2,5,3,4,9,7.0,,,,
1934,NFL,New York Giants*,8,5,0,Won Champ,147,107,40,Owen,,Newman,Newman,Badgro,5,5,6,5,3,5,3,11,3.1,,,,
1933,NFL,New York Giants*,11,3,0,Lost Champ,244,101,143,Owen,,Newman,Newman,Burnett,1,5,3,5,1,1,5,10,10.2,,,,
1932,NFL,New York Giants,4,6,2,,93,113,-20,Owen,,McBride,McBride,Flaherty,4,2,5,1,5,4,2,8,-1.7,,,,
1931,NFL,New York Giants,7,6,1,,154,100,54,Owen,,,,,5,1,4,1,1,4,1,10,3.9,,,,
1930,NFL,New York Giants,13,4,0,,308,98,210,AndrewsFriedman,,,,,1,1,3,1,1,1,1,11,12.4,,,,
1929,NFL,New York Giants,13,1,1,,312,86,226,Andrews,,,,,1,1,2,1,1,1,1,12,15.1,,,,
1928,NFL,New York Giants,4,7,2,,79,136,-57,Potteiger,,,,,8,1,6,1,1,6,1,10,-4.4,,,,
1927,NFL,New York Giants,11,1,1,Won Champ,197,20,177,Potteiger,,,,,2,1,1,1,1,1,1,12,13.6,,,,
1926,NFL,New York Giants,8,4,1,,147,51,96,Alexander,,,,,4,1,3,1,1,4,1,22,7.4,,,,
1925,NFL,New York Giants,8,4,0,,122,67,55,Folwell,,,,,5,1,5,1,1,4,1,20,4.6,,,,
