
,,,,,,,Points,Points,Points,,,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
1947,NFL,Washington Redskins,4,8,0,,295,367,-72,Edwards,,Baugh,Castiglia,Saenz,4,2,10,8,9,7,2,10,-6.0,,,,
1946,NFL,Washington Redskins,5,5,1,,171,191,-20,Edwards,,Baugh,Todd,Bagarus,7,4,4,1,9,8,2,10,-1.8,,,,
1945,NFL,Washington Redskins*,8,2,0,Lost Champ,209,121,88,DeGroot,,Baugh,Akins,Bagarus,4,1,1,2,3,3,1,10,8.8,,,,
1944,NFL,Washington Redskins,6,3,1,,169,180,-11,DeGroot,,Filchock,Seymour,Moore,7,3,7,6,7,6,4,11,-1.1,,,,
1943,NFL,Washington Redskins*,6,3,1,Lost Champ,229,137,92,Bergman,,Baugh,Farkas,Moore,3,3,1,3,3,2,4,10,9.2,,,,
1942,NFL,Washington Redskins*,10,1,0,Won Champ,227,102,125,Flaherty,,Baugh,Farkas,Todd,3,3,2,2,7,2,2,10,11.4,,,,
1941,NFL,Washington Redskins,6,5,0,,176,174,2,Flaherty,,Baugh,Filchock,Millner,4,5,5,3,7,5,4,10,0.2,,,,
1940,NFL,Washington Redskins*,9,2,0,Lost Champ,245,142,103,Flaherty,,Baugh,Todd,Todd,1,2,3,9,8,1,3,10,9.4,,,,
1939,NFL,Washington Redskins,8,2,1,,242,94,148,Flaherty,,Filchock,Farkas,Farkas,2,2,2,1,4,1,2,10,13.5,,,,
1938,NFL,Washington Redskins,6,3,2,,148,154,-6,Flaherty,,Baugh,Farkas,Malone,5,2,5,3,9,5,1,10,-0.5,,,,
1937,NFL,Washington Redskins*,8,3,0,Won Champ,195,120,75,Flaherty,,Baugh,Battles,Malone,3,2,4,1,5,3,2,10,6.8,,,,
1936,NFL,Boston Redskins*,7,5,0,Lost Champ,149,110,39,Flaherty,,Britt,Battles,Millner,4,6,3,1,3,4,3,9,3.3,,,,
1935,NFL,Boston Redskins,2,8,1,,65,123,-58,Casey,,Shepherd,Shepherd,Malone,8,5,6,5,8,7,5,9,-5.3,,,,
1934,NFL,Boston Redskins,6,6,0,,107,94,13,Dietz,,Hokuf,Battles,Malone,7,8,5,6,8,6,7,11,1.1,,,,
1933,NFL,Boston Redskins,5,5,2,,103,97,6,Dietz,,Musick,Musick,Battles,6,2,5,7,7,6,6,10,0.5,,,,
1932,NFL,Boston Braves,4,4,2,,55,79,-24,Wray,,Hughes,Battles,Battles,7,7,4,1,8,5,7,8,-2.4,,,,
