
,,,,,,,Points,Points,Points,,,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
1940,NFL,Green Bay Packers,6,4,1,,238,155,83,Lambeau,,Isbell,Hinkle,Hutson,2,1,6,3,3,3,1,10,7.5,,,,
1939,NFL,Green Bay Packers*,9,2,0,Won Champ,233,153,80,Lambeau,,Herber,Isbell,Hutson,3,3,4,6,3,4,3,10,7.3,,,,
1938,NFL,Green Bay Packers*,8,3,0,Lost Champ,223,118,105,Lambeau,,Isbell,Isbell,Hutson,1,1,3,6,5,2,4,10,9.5,,,,
1937,NFL,Green Bay Packers,7,4,0,,220,122,98,Lambeau,,Herber,Hinkle,Hutson,1,1,5,6,10,2,1,10,8.9,,,,
1936,NFL,Green Bay Packers*,10,1,1,Won Champ,248,118,130,Lambeau,,Herber,Hinkle,Hutson,1,3,4,3,3,2,2,9,10.8,,,,
1935,NFL,Green Bay Packers,8,4,0,,181,96,85,Lambeau,,Herber,Monnett,Hutson,3,2,1,4,7,2,2,9,7.1,,,,
1934,NFL,Green Bay Packers,7,6,0,,156,112,44,Lambeau,,Herber,Hinkle,Laws,3,7,7,4,2,4,5,11,3.4,,,,
1933,NFL,Green Bay Packers,5,7,1,,170,107,63,Lambeau,,Herber,Hinkle,Dilweg,2,6,6,1,2,2,2,10,4.8,,,,
1932,NFL,Green Bay Packers,10,3,1,,152,63,89,Lambeau,,Herber,Hinkle,Blood,2,6,2,1,3,2,6,8,6.4,,,,
1931,NFL,Green Bay Packers,12,2,0,Won Champ,291,87,204,Lambeau,,,,,1,1,2,1,1,1,1,10,14.6,,,,
1930,NFL,Green Bay Packers,10,3,1,Won Champ,234,111,123,Lambeau,,,,,2,1,4,1,1,2,1,11,8.8,,,,
1929,NFL,Green Bay Packers,12,0,1,Won Champ,198,22,176,Lambeau,,,,,2,1,1,1,1,2,1,12,13.5,,,,
1928,NFL,Green Bay Packers,6,4,3,,120,92,28,Lambeau,,,,,5,1,4,1,1,5,1,10,2.2,,,,
1927,NFL,Green Bay Packers,7,2,1,,113,43,70,Lambeau,,,,,3,1,2,1,1,3,1,12,7.0,,,,
1926,NFL,Green Bay Packers,7,3,3,,151,61,90,Lambeau,,,,,3,1,5,1,1,5,1,22,6.9,,,,
1925,NFL,Green Bay Packers,8,5,0,,151,110,41,Lambeau,,,,,3,1,11,1,1,7,1,20,3.2,,,,
1924,NFL,Green Bay Packers,7,4,0,,108,38,70,Lambeau,,,,,7,1,2,1,1,5,1,19,6.4,,,,
1923,NFL,Green Bay Packers,7,2,1,,85,34,51,Lambeau,,,,,7,1,3,1,1,5,1,20,5.1,,,,
1922,NFL,Green Bay Packers,4,3,3,,70,54,16,Lambeau,,,,,11,1,7,1,1,10,1,18,1.6,,,,
1921,APFA,Green Bay Packers,3,2,1,,70,55,15,Lambeau,,,,,6,1,10,1,1,9,1,21,2.5,,,,
