
,,,,,,,Points,Points,Points,,,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
1952,NFL,Philadelphia Eagles,7,5,0,,252,271,-19,Trimble,,Thomason,Huzvar,Grant,7,8,7,2,7,8,6,12,-1.6,-0.8,-2.4,-1.3,-1.1
1951,NFL,Philadelphia Eagles,4,8,0,,234,264,-30,MillnerMcMillin,,Burk,Ziegler,Pihos,9,10,7,3,11,7,8,12,-2.5,1.0,-1.5,-0.4,-1.2
1950,NFL,Philadelphia Eagles,6,6,0,,254,141,113,Neale,,Thompson,Ziegler,Ferrante,7,5,1,3,4,4,2,13,9.4,1.4,10.8,-0.8,11.6
1949,NFL,Philadelphia Eagles*,11,1,0,Won Champ,364,134,230,Neale,,Thompson,Van Buren,Ferrante,1,2,1,1,1,1,1,10,19.2,,,,
1948,NFL,Philadelphia Eagles*,9,2,1,Won Champ,376,156,220,Neale,,Thompson,Van Buren,Pihos,2,2,2,2,4,2,1,10,18.3,,,,
1947,NFL,Philadelphia Eagles*,8,4,0,Lost Champ,308,242,66,Neale,,Thompson,Van Buren,Pihos,2,6,5,4,4,3,6,10,5.5,,,,
1946,NFL,Philadelphia Eagles,6,5,0,,231,220,11,Neale,,Thompson,Van Buren,Ferrante,5,6,7,2,5,6,4,10,1.0,,,,
1945,NFL,Philadelphia Eagles,7,3,0,,272,133,139,Neale,,Zimmerman,Van Buren,Ferrante,1,4,2,1,3,1,3,10,13.9,,,,
1944,NFL,Philadelphia Eagles,7,1,2,,267,131,136,Neale,,Zimmerman,Van Buren,Bleeker,1,5,2,1,4,1,2,11,13.6,,,,
1943,NFL,Phi/Pit Eagles/Steelers,5,4,1,,225,230,-5,NealeKiesling,,Zimmerman,Hinkle,Bova,4,4,6,1,4,5,3,10,-0.5,,,,
1942,NFL,Philadelphia Eagles,2,9,0,,134,239,-105,Neale,,Thompson,Davis,Meyer,7,5,9,6,5,8,5,10,-9.5,,,,
1941,NFL,Philadelphia Eagles,2,8,1,,119,218,-99,Neale,,Thompson,Castiglia,Humbert,8,8,8,8,8,8,7,10,-9.0,,,,
1940,NFL,Philadelphia Eagles,1,10,0,,111,211,-100,Bell,,O'Brien,Riffle,Looney,9,9,9,7,8,9,9,10,-9.1,,,,
1939,NFL,Philadelphia Eagles,1,9,1,,105,200,-95,Bell,,O'Brien,Smukler,Ramsey,9,9,7,7,7,7,8,10,-8.6,,,,
1938,NFL,Philadelphia Eagles,5,6,0,,154,164,-10,Bell,,Smukler,Smukler,Carter,4,10,7,10,5,6,10,10,-0.9,,,,
1937,NFL,Philadelphia Eagles,2,8,1,,86,177,-91,Bell,,Smukler,Mortell,Carter,8,10,9,10,7,8,10,10,-8.3,,,,
1936,NFL,Philadelphia Eagles,1,11,0,,51,206,-155,Bell,,Smukler,Hanson,Manske,9,8,9,7,9,9,7,9,-12.9,,,,
1935,NFL,Philadelphia Eagles,2,9,0,,60,179,-119,Wray,,Storm,Hanson,Carter,9,7,8,7,4,9,7,9,-10.8,,,,
1934,NFL,Philadelphia Eagles,4,7,0,,127,85,42,Wray,,Matesic,Hanson,Carter,4,4,4,7,6,3,4,11,3.8,,,,
1933,NFL,Philadelphia Eagles,3,5,1,,77,158,-81,Wray,,Kirkman,Hanson,Hanson,7,7,9,10,9,9,7,10,-9.0,,,,
